,0,1,2,3,4,5
52,52,정글북 (2016),"$966,550,600","$364,001,123",37.66%,"$175,000,000"
53,53,쥬만지: 새로운 세계 (2017),"$962,102,237","$404,540,171",42.05%,"$90,000,000"
54,54,캐리비안의 해적: 세상의 끝 (2007),"$960,996,492","$309,420,425",32.20%,"$300,000,000"
55,55,호빗: 스마우그의 폐허 (2013),"$960,366,855","$258,366,855",26.90%,"$250,000,000"
56,56,호빗: 다섯 군대 전투 (2014),"$955,119,788","$255,119,788",26.71%,"$250,000,000"
57,57,반지의 제왕: 두 개의 탑 (2002),"$951,208,089","$342,551,365",36.01%,"$96,000,000"
58,58,해리 포터와 불사조 기사단 (2007),"$942,044,510","$292,353,413",31.03%,"$150,000,000"
59,59,니모를 찾아서 (2003),"$940,335,536","$380,843,261",40.50%,"$94,000,000"
60,60,해리 포터와 혼혈 왕자 (2009),"$934,416,487","$301,959,197",32.32%,"$250,000,000"
61,61,슈렉 2 (2004),"$919,838,758","$441,226,247",47.97%,"$150,000,000"
62,62,보헤미안 랩소디 (2018),"$903,175,016","$216,428,042",23.96%,"$52,000,000"
63,63,해리 포터와 불의 잔 (2005),"$896,911,078","$290,013,036",32.33%,"$150,000,000"
64,64,스파이더맨 3 (2007),"$894,983,373","$336,530,303",37.60%,"$258,000,000"
65,65,반지의 제왕: 반지 원정대 (2001),"$887,832,826","$315,544,750",35.54%,"$93,000,000"
66,66,아이스 에이지 3: 공룡시대 (2009),"$886,686,817","$196,573,705",22.17%,"$90,000,000"
67,67,007 스펙터 (2015),"$880,674,609","$200,074,609",22.72%,"$245,000,000"
68,68,스파이더맨: 홈커밍 (2017),"$880,166,924","$334,201,140",37.97%,"$175,000,000"
69,69,해리 포터와 비밀의 방 (2002),"$878,979,634","$261,988,482",29.81%,"$100,000,000"
70,70,아이스 에이지 4: 대륙 이동설 (2012),"$877,244,782","$161,321,843",18.39%,"$95,000,000"
71,71,마이펫의 이중생활 (2016),"$875,457,937","$368,384,330",42.08%,"$75,000,000"
72,72,배트맨 대 슈퍼맨: 저스티스의 시작 (2016),"$873,634,919","$330,360,194",37.81%,"$250,000,000"
73,73,늑대전사 (2017),"$870,325,439","$2,721,100",0.31%,"$30,100,000"
74,74,스타 워즈 에피소드 3: 시스의 복수 (2005),"$868,390,560","$380,270,577",43.79%,"$113,000,000"
75,75,헝거게임: 캣칭 파이어 (2013),"$865,011,746","$424,668,047",49.09%,"$130,000,000"
76,76,가디언즈 오브 갤럭시 Vol. 2 (2017),"$863,756,051","$389,813,101",45.13%,"$200,000,000"
77,77,인사이드 아웃 (2015),"$857,611,174","$356,461,711",41.56%,"$175,000,000"
78,78,베놈 (2018),"$856,085,151","$213,515,506",24.94%,"$100,000,000"
79,79,토르: 라그나로크 (2017),"$853,977,126","$315,058,289",36.89%,"$180,000,000"
80,80,트랜스포머: 패자의 역습 (2009),"$836,303,693","$402,111,870",48.08%,"$200,000,000"
81,81,인셉션 (2010),"$829,895,144","$292,576,195",35.25%,"$160,000,000"
82,82,브레이킹 던 Part 2 (2012),"$829,746,820","$292,324,737",35.23%,"$120,000,000"
83,83,스파이더맨 (2002),"$825,025,036","$407,022,860",49.33%,"$139,000,000"
84,84,원더 우먼 (2017),"$821,847,012","$412,563,408",50.20%,"$149,000,000"
85,85,인디펜던스 데이 (1996),"$817,400,891","$306,169,268",37.46%,"$75,000,000"
86,86,신비한 동물사전 (2016),"$814,037,575","$234,037,575",28.75%,"$180,000,000"
87,87,슈렉 3 (2007),"$813,367,380","$322,719,944",39.68%,"$160,000,000"
88,88,코코 (2017),"$807,082,196","$209,726,015",25.99%,"$175,000,000"
89,89,쥬만지: 넥스트 레벨 (2019),"$796,575,993","$316,831,246",39.77%,"$125,000,000"
90,90,해리 포터와 아즈카반의 죄수 (2004),"$796,093,802","$249,541,069",31.35%,"$130,000,000"
91,91,캐리비안의 해적: 죽은 자는 말이 없다 (2017),"$794,861,794","$172,558,876",21.71%,"$230,000,000"
92,92,이티 (1982),"$792,910,554","$435,110,554",54.88%,"$10,500,000"
93,93,2012 (2009),"$791,217,826","$166,112,167",20.99%,"$200,000,000"
94,94,미션 임파서블: 폴아웃 (2018),"$791,115,104","$220,159,104",27.83%,"$178,000,000"
95,95,인디아나 존스 4 - 크리스탈 해골의 왕국 (2008),"$790,653,942","$317,101,119",40.11%,"$185,000,000"
96,96,스파이더맨 2 (2004),"$788,976,453","$373,585,825",47.35%,"$200,000,000"
97,97,분노의 질주: 더 맥시멈 (2013),"$788,679,850","$238,679,850",30.26%,"$160,000,000"
98,98,데드풀 2 (2018),"$785,794,179","$324,591,735",41.31%,"$110,000,000"
99,99,데드풀 (2016),"$782,612,155","$363,070,709",46.39%,"$58,000,000"
100,100,스타 워즈 에피소드 4: 새로운 희망 (1977),"$775,512,064","$460,998,507",59.44%,"$11,000,000"
101,101,가디언즈 오브 갤럭시 (2014),"$774,176,600","$333,176,600",43.04%,"$170,000,000"
102,102,다빈치 코드 (2006),"$760,006,945","$217,536,138",28.62%,"$125,000,000"
103,103,분노의 질주: 홉스&쇼 (2019),"$759,056,935","$173,956,935",22.92%,"$200,000,000"
104,104,말레피센트 (2014),"$758,410,378","$241,410,378",31.83%,"$180,000,000"
105,105,어메이징 스파이더맨 (2012),"$757,930,663","$262,030,663",34.57%,"$230,000,000"
106,106,헝거게임: 모킹제이 (2014),"$755,356,711","$337,135,885",44.63%,"$125,000,000"
107,107,슈렉 포에버 (2010),"$752,600,867","$238,736,787",31.72%,"$165,000,000"
108,108,마다가스카 3: 이번엔 서커스다! (2012),"$746,921,274","$216,391,482",28.97%,"$145,000,000"
109,109,수어사이드 스쿼드 (2016),"$746,846,894","$325,100,054",43.53%,"$175,000,000"
110,110,엑스맨: 데이즈 오브 퓨처 패스트 (2014),"$746,045,700","$233,921,534",31.35%,"$200,000,000"
111,111,"나니아 연대기: 사자, 마녀, 그리고 옷장 (2005)","$745,013,115","$291,710,957",39.16%,"$180,000,000"
112,112,몬스터 대학교 (2013),"$743,559,607","$268,492,764",36.11%,"$200,000,000"
113,113,매트릭스 2 - 리로디드 (2003),"$741,846,459","$281,576,461",37.96%,"$150,000,000"
114,114,업 (2009),"$731,342,744","$293,004,164",40.06%,"$175,000,000"
115,115,나타지마동강세 (2019),"$726,063,471","$3,695,533",0.51%,$00
116,116,그래비티 (2013),"$716,392,705","$274,092,705",38.26%,"$100,000,000"
117,117,캡틴 아메리카: 윈터 솔저 (2014),"$714,766,572","$259,766,572",36.34%,"$170,000,000"
118,118,브레이킹 던 Part 1 (2011),"$712,205,856","$281,287,133",39.50%,"$110,000,000"
119,119,뉴문 (2009),"$711,020,081","$297,816,253",41.89%,"$50,000,000"
120,120,혹성탈출: 반격의 서막 (2014),"$710,644,566","$208,545,589",29.35%,"$170,000,000"
121,121,트랜스포머 (2007),"$709,709,780","$319,246,193",44.98%,"$150,000,000"
122,122,어메이징 스파이더맨 2 (2014),"$708,982,323","$202,853,933",28.61%,"$200,000,000"
123,123,그것 (2017),"$701,796,444","$328,828,874",46.86%,"$35,000,000"
124,124,토르: 러브 앤 썬더 (2022),"$700,492,657","$317,171,269",45.28%,"$250,000,000"
125,125,유랑지구 (2019),"$699,760,773","$5,875,487",0.84%,"$48,000,000"
126,126,이클립스 (2010),"$698,491,347","$300,531,751",43.03%,"$68,000,000"
127,127,미션 임파서블: 고스트 프로토콜 (2011),"$694,713,380","$209,397,903",30.14%,"$145,000,000"
128,128,헝거게임: 판엠의 불꽃 (2012),"$694,394,724","$408,010,692",58.76%,"$78,000,000"
129,129,모아나 (2016),"$690,845,539","$248,757,044",36.01%,"$150,000,000"
130,130,미션 임파서블: 로그네이션 (2015),"$682,714,267","$195,042,377",28.57%,"$150,000,000"
131,131,포레스트 검프 (1994),"$677,945,399","$330,252,182",48.71%,"$55,000,000"
132,132,닥터 스트레인지 (2016),"$677,563,366","$232,641,920",34.34%,"$165,000,000"
133,133,인터스텔라 (2014),"$677,471,339","$188,020,017",27.75%,"$165,000,000"
134,134,식스 센스 (1999),"$672,806,292","$293,506,292",43.62%,"$40,000,000"
135,135,007 노 타임 투 다이 (2020),"$668,327,735","$144,199,735",21.58%,"$250,000,000"
136,136,맨 오브 스틸 (2013),"$668,045,518","$291,045,518",43.57%,"$225,000,000"
137,137,아이스 에이지 2 (2006),"$667,094,506","$195,330,621",29.28%,"$80,000,000"
138,138,쿵푸팬더2 (2011),"$665,692,281","$165,249,063",24.82%,"$150,000,000"
139,139,헝거게임: 더 파이널 (2015),"$658,344,137","$281,723,902",42.79%,"$160,000,000"
140,140,저스티스 리그 (2017),"$657,924,295","$229,024,295",34.81%,"$300,000,000"
141,141,빅 히어로 (2014),"$657,827,828","$222,527,828",33.83%,"$166,000,000"
142,142,신비한 동물들과 그린델왈드의 범죄 (2018),"$654,855,901","$159,555,901",24.37%,"$200,000,000"
143,143,캐리비안의 해적: 블랙펄의 저주 (2003),"$654,264,015","$305,413,918",46.68%,"$140,000,000"
144,144,스타 워즈 에피소드 2: 클론의 습격 (2002),"$649,398,328","$310,676,740",47.84%,"$115,000,000"
145,145,토르: 다크월드 (2013),"$644,783,140","$206,362,140",32.00%,"$170,000,000"
146,146,씽 (2016),"$634,151,679","$270,395,425",42.64%,"$75,000,000"
147,147,몬스터 주식회사 (2001),"$632,316,649","$289,916,256",45.85%,"$115,000,000"
148,148,쿵푸팬더 (2008),"$631,744,560","$215,434,591",34.10%,"$130,000,000"
149,149,인크레더블 (2004),"$631,442,092","$261,441,092",41.40%,"$92,000,000"
150,150,마션 (2015),"$630,161,890","$228,433,663",36.25%,"$180,000,000"
151,151,핸콕 (2008),"$629,443,428","$227,946,274",36.21%,"$150,000,000"
152,152,분노의 질주: 언리미티드 (2011),"$626,137,675","$209,837,675",33.51%,"$125,000,000"
153,153,맨 인 블랙 3 (2012),"$624,026,776","$179,020,854",28.69%,"$225,000,000"
154,154,아이언맨 2 (2010),"$623,933,331","$312,433,331",50.07%,"$200,000,000"
155,155,라따뚜이 (2007),"$623,722,818","$206,445,654",33.10%,"$150,000,000"
156,156,앤트맨과 와스프 (2018),"$622,674,139","$216,648,740",34.79%,"$162,000,000"
157,157,드래곤 길들이기 2 (2014),"$621,537,519","$177,002,924",28.48%,"$145,000,000"
158,158,로건 (2017),"$619,021,436","$226,277,068",36.55%,"$135,000,000"
159,159,쥬라기 공원 2: 잃어버린 세계 (1997),"$618,638,999","$229,086,679",37.03%,"$73,000,000"
160,160,007 카지노 로얄 (2006),"$616,501,619","$167,445,960",27.16%,"$150,000,000"
161,161,패션 오브 크라이스트 (2004),"$611,899,420","$370,782,930",60.60%,"$30,000,000"
162,162,맘마미아! (2008),"$609,896,805","$144,169,664",23.64%,"$52,000,000"
163,163,라이프 오브 파이 (2012),"$609,016,565","$124,987,023",20.52%,"$120,000,000"
164,164,트랜스포머: 최후의 기사 (2017),"$605,425,157","$130,168,683",21.50%,"$217,000,000"
165,165,마다가스카 2 (2008),"$603,900,354","$180,010,950",29.81%,"$150,000,000"
166,166,우주전쟁 (2005),"$603,873,119","$234,280,354",38.80%,"$132,000,000"
167,167,라푼젤 (2010),"$591,794,936","$200,821,936",33.93%,"$260,000,000"
168,168,007 퀀텀 오브 솔러스 (2008),"$589,580,482","$168,368,427",28.56%,"$200,000,000"
169,169,맨 인 블랙 (1997),"$589,390,539","$250,690,539",42.53%,"$90,000,000"
170,170,크루즈 패밀리 (2013),"$587,204,668","$187,168,425",31.87%,"$135,000,000"
171,171,행오버 2 (2011),"$586,764,305","$254,464,305",43.37%,"$80,000,000"
172,172,나는 전설이다 (2007),"$585,410,052","$256,393,010",43.80%,"$150,000,000"
173,173,아이언맨 (2008),"$585,174,222","$318,412,101",54.41%,"$140,000,000"
174,174,레디 플레이어 원 (2018),"$582,890,172","$137,690,172",23.62%,"$175,000,000"
175,175,오퍼레이션 레드 씨 (2018),"$579,330,426","$1,543,547",0.27%,"$70,000,000"
176,176,박물관이 살아있다! (2006),"$574,480,841","$250,863,268",43.67%,"$110,000,000"
177,177,그레이의 50가지 그림자 (2015),"$571,006,128","$166,167,230",29.10%,"$40,000,000"
178,178,콩: 스컬 아일랜드 (2017),"$566,652,812","$168,052,812",29.66%,"$185,000,000"
179,179,개구쟁이 스머프 (2011),"$563,749,323","$142,614,158",25.30%,"$110,000,000"
180,180,킹콩 (2005),"$562,363,449","$218,080,025",38.78%,"$207,000,000"
181,181,카 2 (2011),"$559,852,396","$191,452,396",34.20%,"$200,000,000"
182,182,장화신은 고양이 (2011),"$554,987,477","$149,260,504",26.89%,"$130,000,000"
183,183,미인어 (2016),"$553,810,228","$3,232,685",0.58%,"$60,720,000"
184,184,아마겟돈 (1998),"$553,709,788","$201,573,391",36.40%,"$140,000,000"
185,185,투모로우 (2004),"$552,639,571","$186,740,799",33.79%,"$125,000,000"
186,186,19곰 테드 (2012),"$549,368,315","$218,815,487",39.83%,"$50,000,000"
187,187,스타 워즈 에피소드 5: 제국의 역습 (1980),"$547,897,454","$290,271,960",52.98%,"$1,800,000"
188,188,아메리칸 스나이퍼 (2014),"$547,426,372","$350,126,372",63.96%,"$58,800,000"
189,189,미션 임파서블 2 (2000),"$546,388,108","$215,409,889",39.42%,"$125,000,000"
190,190,차이나타운의 형사 (2018),"$544,185,156","$1,983,984",0.36%,$00
191,191,엑스맨: 아포칼립스 (2016),"$543,934,105","$155,442,489",28.58%,"$178,000,000"
192,192,셜록 홈즈: 그림자 게임 (2011),"$543,848,418","$186,848,418",34.36%,"$125,000,000"
193,193,슈퍼배드 (2010),"$543,113,985","$251,513,985",46.31%,"$69,000,000"
194,194,신데렐라 (2015),"$542,351,353","$201,151,353",37.09%,"$95,000,000"
195,195,마다가스카 (2005),"$542,063,846","$193,595,521",35.71%,"$75,000,000"
196,196,월드워 Z (2013),"$540,007,876","$202,359,711",37.47%,"$190,000,000"
197,197,메리다와 마법의 숲 (2012),"$538,983,207","$237,283,207",44.02%,"$185,000,000"
198,198,"심슨가족, 더 무비 (2007)","$536,414,270","$183,135,014",34.14%,"$75,000,000"
199,199,레버넌트: 죽음에서 돌아온 자 (2015),"$532,950,503","$183,637,894",34.46%,"$135,000,000"
200,200,메가로돈 (2018),"$530,243,742","$145,443,742",27.43%,"$130,000,000"
